index,wall_time,sim_time_ns,object_x,object_y,object_z,tcp_x,tcp_y,tcp_z,dist_tcp_object,attached_state,object_disp_from_start,tcp_disp_from_start,object_step,tcp_step,anomaly_detached_object_motion,anomaly_far_attached,anomaly_object_moves_more_than_tcp
0,1773732636.8846273,1773732636884630268,,,,,,,,,,,,,False,False,False
1,1773732636.934276,1773732636934278369,,,,,,,,,,,,,False,False,False
2,1773732636.984299,1773732636984301278,,,,,,,,,,,,,False,False,False
3,1773732637.0342774,1773732637034279358,,,,,,,,,,,,,False,False,False
4,1773732637.0843892,1773732637084390547,,,,,,,,,,,,,False,False,False
5,1773732637.1342597,1773732637134261377,,,,,,,,,,,,,False,False,False
6,1773732637.1842508,1773732637184254137,,,,,,,,,,,,,False,False,False
7,1773732637.2343173,1773732637234320176,,,,,,,,,,,,,False,False,False
8,1773732637.284242,1773732637284243816,,,,,,,,,,,,,False,False,False
9,1773732637.3342183,1773732637334219955,,,,,,,,,,,,,False,False,False
10,1773732637.384238,1773732637384240235,,,,,,,,,,,,,False,False,False
11,1773732637.4342508,1773732637434252825,,,,,,,,,,,,,False,False,False
12,1773732637.4842448,1773732637484246754,,,,,,,,,,,,,False,False,False
13,1773732637.5342164,1773732637534218104,,,,,,,,,,,,,False,False,False
14,1773732637.584262,1773732637584265673,,,,,,,,,,,,,False,False,False
15,1773732637.634253,1773732637634255103,,,,,,,,,,,,,False,False,False
16,1773732637.6842892,1773732637684291842,,,,,,,,,,,,,False,False,False
17,1773732637.7345626,1773732637734564570,,,,,,,,,,,,,False,False,False
18,1773732637.7842345,1773732637784236001,,,,,,,,,,,,,False,False,False
19,1773732637.8342483,1773732637834249901,,,,,,,,,,,,,False,False,False
20,1773732637.8842528,1773732637884254851,,,,,,,,,,,,,False,False,False
21,1773732637.9342508,1773732637934252520,,,,,,,,,,,,,False,False,False
22,1773732637.9842434,1773732637984245649,,,,,,,,,,,,,False,False,False
23,1773732638.0343223,1773732638034324099,,,,,,,,,,,,,False,False,False
24,1773732638.084211,1773732638084212809,,,,,,,,,,,,,False,False,False
25,1773732638.1342351,1773732638134236488,,,,,,,,,,,,,False,False,False
26,1773732638.1842403,1773732638184241968,,,,,,,,,,,,,False,False,False
27,1773732638.2342587,1773732638234261917,,,,,,,,,,,,,False,False,False
28,1773732638.2842133,1773732638284215047,,,,,,,,,,,,,False,False,False
29,1773732638.3342395,1773732638334241106,,,,,,,,,,,,,False,False,False
30,1773732638.384251,1773732638384253056,,,,,,,,,,,,,False,False,False
31,1773732638.4343753,1773732638434376865,,,,,,,,,,,,,False,False,False
32,1773732638.4842486,1773732638484251685,,,,,,,,,,,,,False,False,False
33,1773732638.5342515,1773732638534253235,,,,,,,,,,,,,False,False,False
34,1773732638.5843232,1773732638584325374,,,,,,,,,,,,,False,False,False
35,1773732638.6342425,1773732638634244393,,,,,,,,,,,,,False,False,False
36,1773732638.684242,1773732638684243593,,,,,,,,,,,,,False,False,False
37,1773732638.7342353,1773732638734237243,,,,,,,,,,,,,False,False,False
38,1773732638.7842445,1773732638784246502,,,,,,,,,,,,,False,False,False
39,1773732638.8342502,1773732638834252082,,,,,,,,,,,,,False,False,False
40,1773732638.8843062,1773732638884308811,,,,,,,,,,,,,False,False,False
41,1773732638.9342587,1773732638934260811,,,,,,,,,,,,,False,False,False
42,1773732638.9842896,1773732638984292200,,,,,,,,,,,,,False,False,False
43,1773732639.0342424,1773732639034244060,,,,,,,,,,,,,False,False,False
44,1773732639.0842528,1773732639084255209,,,,,,,,,,,,,False,False,False
45,1773732639.1342363,1773732639134238379,,,,,,,,,,,,,False,False,False
46,1773732639.1842384,1773732639184240449,,,,,,,,,,,,,False,False,False
47,1773732639.2342372,1773732639234239288,,,,,,,,,,,,,False,False,False
48,1773732639.284332,1773732639284334847,,,,,,,,,,,,,False,False,False
49,1773732639.3342154,1773732639334217417,,,,,,,,,,,,,False,False,False
50,1773732639.3842502,1773732639384252467,,,,,,,,,,,,,False,False,False
51,1773732639.434254,1773732639434256976,,,,,,,,,,,,,False,False,False
52,1773732639.484569,1773732639484573384,,,,,,,,,,,,,False,False,False
53,1773732639.5343156,1773732639534317885,,,,,,,,,,,,,False,False,False
54,1773732639.5843012,1773732639584303134,,,,,,,,,,,,,False,False,False
55,1773732639.6343215,1773732639634323424,,,,,,,,,,,,,False,False,False
56,1773732639.6842575,1773732639684260314,,,,,,,,,,,,,False,False,False
57,1773732639.7342448,1773732639734247233,,,,,,,,,,,,,False,False,False
58,1773732639.784242,1773732639784244282,,,,,,,,,,,,,False,False,False
59,1773732639.8342495,1773732639834251602,,,,,,,,,,,,,False,False,False
60,1773732639.8842435,1773732639884245011,,,,,,,,,,,,,False,False,False
61,1773732639.9342523,1773732639934253741,,,,,,,,,,,,,False,False,False
62,1773732639.9843123,1773732639984314050,,,,,,,,,,,,,False,False,False
63,1773732640.0342436,1773732640034245429,,,,,,,,,,,,,False,False,False
64,1773732640.0842524,1773732640084253889,,,,,,,,,,,,,False,False,False
65,1773732640.1342392,1773732640134241009,,,,,,,,,,,,,False,False,False
66,1773732640.184275,1773732640184276948,,,,,,,,,,,,,False,False,False
67,1773732640.2342281,1773732640234229858,,,,,,,,,,,,,False,False,False
68,1773732640.2842994,1773732640284302837,,,,,,,,,,,,,False,False,False
69,1773732640.3342528,1773732640334255137,,,,,,,,,,,,,False,False,False
70,1773732640.3842416,1773732640384243677,,,,,,,,,,,,,False,False,False
71,1773732640.43428,1773732640434282686,,,,,,,,,,,,,False,False,False
72,1773732640.4842432,1773732640484245175,,,,,,,,,,,,,False,False,False
73,1773732640.5342467,1773732640534248355,,,,,,,,,,,,,False,False,False
74,1773732640.58424,1773732640584241955,,,,,,,,,,,,,False,False,False
75,1773732640.634229,1773732640634231014,,,,,,,,,,,,,False,False,False
76,1773732640.6842332,1773732640684235124,,,,,,,,,,,,,False,False,False
77,1773732640.7343132,1773732640734315723,,,,,,,,,,,,,False,False,False
78,1773732640.7842634,1773732640784265723,,,,,,,,,,,,,False,False,False
79,1773732640.8342948,1773732640834296572,,,,,,,,,,,,,False,False,False
80,1773732640.8842785,1773732640884283152,,,,,,,,,,,,,False,False,False
81,1773732640.9342418,1773732640934244481,,,,,,,,,,,,,False,False,False
82,1773732640.984318,1773732640984322141,,,,,,,,,,,,,False,False,False
83,1773732641.0342407,1773732641034243471,,,,,,,,,,,,,False,False,False
84,1773732641.0843663,1773732641084370499,,,,,,,,,,,,,False,False,False
85,1773732641.134465,1773732641134471019,,,,,,,,,,,,,False,False,False
86,1773732641.1845016,1773732641184505678,,,,,,,,,,,,,False,False,False
87,1773732641.2344186,1773732641234423328,,,,,,,,,,,,,False,False,False
88,1773732641.2844174,1773732641284420978,,,,,,,,,,,,,False,False,False
89,1773732641.334305,1773732641334308288,,,,,,,,,,,,,False,False,False
90,1773732641.3842497,1773732641384251797,,,,,,,,,,,,,False,False,False
91,1773732641.4342518,1773732641434253527,,,,,,,,,,,,,False,False,False
92,1773732641.4843128,1773732641484314456,,,,,,,,,,,,,False,False,False
93,1773732641.534238,1773732641534239956,,,,,,,,,,,,,False,False,False
94,1773732641.5842407,1773732641584242906,,,,,,,,,,,,,False,False,False
95,1773732641.6342452,1773732641634247285,,,,,,,,,,,,,False,False,False
96,1773732641.6842532,1773732641684256514,,,,,,,,,,,,,False,False,False
97,1773732641.7342377,1773732641734239654,,,,,,,,,,,,,False,False,False
98,1773732641.7842555,1773732641784257514,,,,,,,,,,,,,False,False,False
99,1773732641.8343408,1773732641834343073,,,,,,,,,,,,,False,False,False
100,1773732641.884422,1773732641884424282,,,,,,,,,,,,,False,False,False
101,1773732641.9343388,1773732641934341882,,,,,,,,,,,,,False,False,False
102,1773732641.984304,1773732641984306472,,,,,,,,,,,,,False,False,False
103,1773732642.0342524,1773732642034254442,,,,,,,,,,,,,False,False,False
104,1773732642.0842423,1773732642084244041,,,,,,,,,,,,,False,False,False
