index,wall_time,sim_time_ns,object_x,object_y,object_z,tcp_x,tcp_y,tcp_z,dist_tcp_object,attached_state,object_disp_from_start,tcp_disp_from_start,object_step,tcp_step,anomaly_detached_object_motion,anomaly_far_attached,anomaly_object_moves_more_than_tcp
0,1773732411.685603,1773732411685604903,,,,,,,,,,,,,False,False,False
1,1773732411.7355769,1773732411735579092,,,,,,,,,,,,,False,False,False
2,1773732411.7856836,1773732411785686111,,,,,,,,,,,,,False,False,False
3,1773732411.8355796,1773732411835582210,,,,,,,,,,,,,False,False,False
4,1773732411.8855338,1773732411885535609,,,,,,,,,,,,,False,False,False
5,1773732411.9355447,1773732411935546458,,,,,,,,,,,,,False,False,False
6,1773732411.985607,1773732411985609317,,,,,,,,,,,,,False,False,False
7,1773732412.0355468,1773732412035549076,,,,,,,,,,,,,False,False,False
8,1773732412.0855424,1773732412085544615,,,,,,,,,,,,,False,False,False
9,1773732412.1355174,1773732412135519814,,,,,,,,,,,,,False,False,False
10,1773732412.185603,1773732412185607672,,,,,,,,,,,,,False,False,False
11,1773732412.2355936,1773732412235595621,,,,,,,,,,,,,False,False,False
12,1773732412.2855787,1773732412285581550,,,,,,,,,,,,,False,False,False
13,1773732412.3356073,1773732412335609319,,,,,,,,,,,,,False,False,False
14,1773732412.3855424,1773732412385544178,,,,,,,,,,,,,False,False,False
15,1773732412.435522,1773732412435523947,,,,,,,,,,,,,False,False,False
16,1773732412.4855762,1773732412485578586,,,,,,,,,,,,,False,False,False
17,1773732412.5355728,1773732412535574845,,,,,,,,,,,,,False,False,False
18,1773732412.585587,1773732412585589544,,,,,,,,,,,,,False,False,False
19,1773732412.6355152,1773732412635517203,,,,,,,,,,,,,False,False,False
20,1773732412.685538,1773732412685539892,,,,,,,,,,,,,False,False,False
21,1773732412.7355297,1773732412735531610,,,,,,,,,,,,,False,False,False
22,1773732412.785537,1773732412785538959,,,,,,,,,,,,,False,False,False
23,1773732412.8355691,1773732412835571228,,,,,,,,,,,,,False,False,False
24,1773732412.8855317,1773732412885534017,,,,,,,,,,,,,False,False,False
25,1773732412.935555,1773732412935558016,,,,,,,,,,,,,False,False,False
26,1773732412.9855397,1773732412985543165,,,,,,,,,,,,,False,False,False
27,1773732413.0356016,1773732413035603644,,,,,,,,,,,,,False,False,False
28,1773732413.0856717,1773732413085673872,,,,,,,,,,,,,False,False,False
29,1773732413.1356392,1773732413135642701,,,,,,,,,,,,,False,False,False
30,1773732413.185584,1773732413185586000,,,,,,,,,,,,,False,False,False
31,1773732413.2355561,1773732413235558609,,,,,,,,,,,,,False,False,False
32,1773732413.2855399,1773732413285541798,,,,,,,,,,,,,False,False,False
33,1773732413.3355086,1773732413335510457,,,,,,,,,,,,,False,False,False
34,1773732413.3855379,1773732413385539796,,,,,,,,,,,,,False,False,False
35,1773732413.435615,1773732413435617165,,,,,,,,,,,,,False,False,False
36,1773732413.4856675,1773732413485669413,,,,,,,,,,,,,False,False,False
37,1773732413.535526,1773732413535528233,,,,,,,,,,,,,False,False,False
38,1773732413.5856197,1773732413585621741,,,,,,,,,,,,,False,False,False
39,1773732413.6355267,1773732413635528370,,,,,,,,,,,,,False,False,False
40,1773732413.68556,1773732413685563689,,,,,,,,,,,,,False,False,False
41,1773732413.7355506,1773732413735552948,,,,,,,,,,,,,False,False,False
42,1773732413.7855015,1773732413785503317,,,,,,,,,,,,,False,False,False
43,1773732413.835528,1773732413835530066,,,,,,,,,,,,,False,False,False
44,1773732413.8855762,1773732413885578305,,,,,,,,,,,,,False,False,False
45,1773732413.9355423,1773732413935544394,,,,,,,,,,,,,False,False,False
46,1773732413.985513,1773732413985515103,,,,,,,,,,,,,False,False,False
47,1773732414.0356612,1773732414035663361,,,,,,,,,,,,,False,False,False
48,1773732414.0855505,1773732414085552500,,,,,,,,,,,,,False,False,False
49,1773732414.1355555,1773732414135559229,,,,,,,,,,,,,False,False,False
50,1773732414.1855423,1773732414185544218,,,,,,,,,,,,,False,False,False
51,1773732414.2355747,1773732414235576517,,,,,,,,,,,,,False,False,False
52,1773732414.285575,1773732414285577996,,,,,,,,,,,,,False,False,False
53,1773732414.3355281,1773732414335530295,,,,,,,,,,,,,False,False,False
54,1773732414.385565,1773732414385566994,,,,,,,,,,,,,False,False,False
55,1773732414.4355745,1773732414435577093,,,,,,,,,,,,,False,False,False
56,1773732414.4855616,1773732414485563391,,,,,,,,,,,,,False,False,False
57,1773732414.535609,1773732414535612730,,,,,,,,,,,,,False,False,False
58,1773732414.5855997,1773732414585601759,,,,,,,,,,,,,False,False,False
59,1773732414.6355278,1773732414635529658,,,,,,,,,,,,,False,False,False
60,1773732414.6855707,1773732414685572767,,,,,,,,,,,,,False,False,False
61,1773732414.7355497,1773732414735551226,,,,,,,,,,,,,False,False,False
62,1773732414.7856286,1773732414785631335,,,,,,,,,,,,,False,False,False
63,1773732414.8355463,1773732414835548124,,,,,,,,,,,,,False,False,False
64,1773732414.8855765,1773732414885578993,,,,,,,,,,,,,False,False,False
65,1773732414.9355643,1773732414935565922,,,,,,,,,,,,,False,False,False
66,1773732414.9855747,1773732414985576380,,,,,,,,,,,,,False,False,False
67,1773732415.0355694,1773732415035571269,,,,,,,,,,,,,False,False,False
68,1773732415.0855181,1773732415085519719,,,,,,,,,,,,,False,False,False
69,1773732415.1355274,1773732415135529517,,,,,,,,,,,,,False,False,False
70,1773732415.1856604,1773732415185662516,,,,,,,,,,,,,False,False,False
71,1773732415.23553,1773732415235531685,,,,,,,,,,,,,False,False,False
72,1773732415.2855291,1773732415285531134,,,,,,,,,,,,,False,False,False
73,1773732415.335533,1773732415335534913,,,,,,,,,,,,,False,False,False
74,1773732415.3855495,1773732415385551492,,,,,,,,,,,,,False,False,False
75,1773732415.4355235,1773732415435525541,,,,,,,,,,,,,False,False,False
76,1773732415.485529,1773732415485530730,,,,,,,,,,,,,False,False,False
77,1773732415.535519,1773732415535520799,,,,,,,,,,,,,False,False,False
78,1773732415.5855753,1773732415585578307,,,,,,,,,,,,,False,False,False
79,1773732415.635551,1773732415635552756,,,,,,,,,,,,,False,False,False
80,1773732415.6858485,1773732415685851384,,,,,,,,,,,,,False,False,False
81,1773732415.7357242,1773732415735730153,,,,,,,,,,,,,False,False,False
82,1773732415.7856746,1773732415785679102,,,,,,,,,,,,,False,False,False
83,1773732415.835774,1773732415835777881,,,,,,,,,,,,,False,False,False
84,1773732415.8857634,1773732415885768230,,,,,,,,,,,,,False,False,False
85,1773732415.9356148,1773732415935616989,,,,,,,,,,,,,False,False,False
86,1773732415.985549,1773732415985551249,,,,,,,,,,,,,False,False,False
87,1773732416.0355325,1773732416035534388,,,,,,,,,,,,,False,False,False
88,1773732416.0855424,1773732416085544327,,,,,,,,,,,,,False,False,False
89,1773732416.135675,1773732416135678585,,,,,,,,,,,,,False,False,False
90,1773732416.185541,1773732416185542984,,,,,,,,,,,,,False,False,False
