wall_time,parent_frame,child_frame,tx,ty,tz,qx,qy,qz,qw,tf_age_sec
1777116091.626,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777116091.626
1777116091.626,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.059
1777116091.626,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115871.059
1777116091.626,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.059
1777116091.626,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.060
1777116091.626,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115871.060
1777116091.626,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.060
1777116091.626,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116091.627
1777116092.126,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777116092.126
1777116092.126,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.446
1777116092.126,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115871.446
1777116092.126,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.447
1777116092.126,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.447
1777116092.126,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115871.447
1777116092.126,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.447
1777116092.126,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116092.127
1777116092.628,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777116092.631
1777116092.628,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.786
1777116092.628,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115871.787
1777116092.628,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115871.787
1777116092.628,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.787
1777116092.628,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115871.787
1777116092.628,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115871.787
1777116092.628,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116092.632
1777116093.126,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777116093.126
1777116093.126,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.175
1777116093.126,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116093.126
1777116093.626,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777116093.626
1777116093.626,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.508
1777116093.626,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115872.509
1777116093.626,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.509
1777116093.626,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.509
1777116093.626,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115872.509
1777116093.626,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.509
1777116093.626,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116093.627
1777116094.127,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115872.884
1777116094.127,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115872.896
1777116094.127,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116094.127
1777116094.630,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115873.260
1777116094.630,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.238
1777116094.630,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115873.238
1777116094.630,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.238
1777116094.630,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.260
1777116094.630,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115873.260
1777116094.630,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.260
1777116094.630,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116094.630
1777116095.004,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115873.533
1777116095.004,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.561
1777116095.004,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116095.005
1777116095.127,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115873.656
1777116095.127,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.632
1777116095.127,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115873.632
1777116095.127,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.632
1777116095.127,world,rg2_pinch_center,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.656
1777116095.127,world,tool0,-0.523191,-0.051746,1.103687,0.803916,-0.087002,0.581674,-0.088350,1777115873.656
1777116095.127,world,rg2_tcp,-0.356835,-0.044600,1.049839,0.803916,-0.087002,0.581674,-0.088350,1777115873.656
1777116095.127,tool0,rg2_pinch_center,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,1.000000,1777116095.127
1777116095.631,world,base_link,-0.850000,0.000000,0.850000,0.000000,0.000000,0.000000,1.000000,1777115873.964
1777116095.631,base_link,rg2_pinch_center,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.979
1777116095.631,base_link,tool0,0.326809,-0.051746,0.253687,0.803916,-0.087002,0.581674,-0.088350,1777115873.979
1777116095.631,base_link,rg2_tcp,0.493165,-0.044600,0.199839,0.803916,-0.087002,0.581674,-0.088350,1777115873.979
